Name,Fan Vote,PPG,APG,RPG,SPG,BPG,PER
LeBron James,41,27,9,9,2,1,27
Giannis Antetokounmpo,39,23,6,9,2,2,27
Stephen Curry,37,26,7,5,2,1,25
Kevin Durant,35,26,5,9,2,2,28
Kyrie Irving,34,26,6,4,2,1,23
Manu Ginobili,28,8,3,3,2,1,14
James Harden,23,30,12,9,2,1,28
Joel Embiid,20,21,3,8,1,3,25
Russell Westbrook,19,32,11,11,2,1,31
Klay Thompson,19,23,3,4,1,1,18
Draymond Green,18,11,8,8,3,2,17
Kristaps Porzingis,17,19,2,8,1,2,18
Anthony Davis,17,28,3,12,2,3,28
DeMar DeRozan,16,28,4,6,2,1,24
DeMarcus Cousins,15,27,5,12,2,2,26
Paul George,14,24,4,7,2,1,21
Kevin Love,12,20,2,12,1,1,22
Kawhi Leonard,12,26,4,6,2,1,28
Ben Simmons,11,17,8,9,2,1,20
Victor Oladipo,10,16,3,5,2,1,14
Dwyane Wade,10,19,4,5,2,1,19
Carmelo Anthony,10,23,3,6,1,1,18
Lonzo Ball,10,10,7,7,2,1,13
LaMarcus Aldridge,9,18,2,8,1,2,19
Chris Paul,9,19,10,5,2,1,27
Karl-Anthony Towns,9,26,3,13,1,2,26
John Wall,9,24,11,5,3,1,24
Kyle Kuzma,8,18,3,6,1,1,15
Isaiah Thomas,7,29,6,3,1,1,27
Damian Lillard,7,27,6,5,1,1,25
Jayson Tatum,7,15,2,6,2,1,16
Al Horford,6,14,5,7,1,2,18
Steven Adams,6,12,2,8,2,1,17
Jimmy Butler,6,24,6,7,2,1,26
Kyle Lowry,5,23,7,5,2,1,23
Enes Kanter,5,15,1,7,1,1,24
Bradley Beal,5,24,4,4,2,1,21
Devin Booker,5,23,4,4,1,1,15
Andre Iguodala,4,8,4,4,1,1,15
Brandon Ingram,4,10,3,5,1,1,9
Andre Drummond,4,14,2,14,2,2,21
Jaylen Brown,4,7,1,3,1,1,11
Blake Griffin,3,22,5,9,1,1,23
Jordan Clarkson,3,15,3,3,2,1,14
Dwight Howard,3,14,2,13,1,2,21
Clint Capela,3,13,1,9,1,2,22
Pau Gasol,3,13,3,8,1,2,21
Derrick Rose,3,19,5,4,1,1,17
Tony Parker,3,11,5,2,1,1,13
Donovan Mitchell,3,23,4,4,2,1,17
Andrew Wiggins,3,24,3,5,1,1,17
Zaza Pachulia,3,7,2,6,1,1,17
Jordan Bell,2,4,2,4,1,1,17
Eric Bledsoe,2,22,7,5,2,1,21
Eric Gordon,2,17,3,3,1,1,14
DeAndre Jordan,2,13,2,14,1,2,22
Zhou Qi,2,2,1,3,1,1,3
Serge Ibaka,2,15,1,7,1,2,17
Nikola Jokic,2,17,5,10,1,1,27
Khris Middleton,2,15,4,5,2,1,15
Kemba Walker,2,24,6,4,2,1,22
Kyle Korver,2,11,2,3,1,1,13
Dirk Nowitzki,2,15,2,7,1,1,17
CJ McCollum,2,18,3,4,1,1,25
Hassan Whiteside,2,17,1,15,1,3,23
Aaron Gordon,2,13,2,6,1,1,15
Cedi Osman,2,9,4,2,1,1,12
Marc Gasol,2,20,5,7,1,2,21
Nick Young,2,14,1,3,1,1,15
Gordon Hayward,2,22,4,6,1,1,23
Trevor Ariza,2,12,3,6,2,1,13
Jeff Green,2,10,2,4,1,1,11
Lou Williams,2,18,3,3,1,1,22
David West,2,5,3,3,1,1,17
JaVale McGee,1,7,1,4,1,1,26